Index,Time,((Motor_LK[0]).PID_Angle).Target,((Motor_LK[0]).PID_Angle).Measure
167,0.167050,0,0.00180315971
168,0.168056,0,0.00199484825
169,0.169052,0,0.00199484825
170,0.170053,0,0.00218653679
171,0.171080,0,0.00218653679
172,0.172054,0,0.00218653679
173,0.173050,0,0.00218653679
174,0.174057,0,0.00218653679
175,0.175053,0,0.00209069252
176,0.176052,0,0.00189900398
177,0.177056,0,0.00189900398
178,0.178055,0,0.00170731544
179,0.179052,0,0.00170731544
180,0.180055,0,0.00151562691
181,0.181051,0,0.00132393837
182,0.182058,0,0.0012280941
183,0.183074,0,0.000940561295
184,0.184055,0,0.000844717026
185,0.185177,0,0.000748872757
186,0.186051,0,0.000557184219
187,0.187050,0,0.000365495682
188,0.188055,0,0.000365495682
189,0.189054,0,0.000173807144
190,0.190053,0,0.000173807144
191,0.191053,0,8.01086426e-05
192,0.192056,0,8.01086426e-05
193,0.193058,0,-0.000111579895
194,0.194049,0,-0.000111579895
195,0.195054,0,-0.000207424164
196,0.196053,0,-0.000303268433
197,0.197049,0,-0.000303268433
198,0.198056,0,-0.000303268433
199,0.199052,0,-0.000303268433
200,0.200055,0,-0.000303268433
201,0.201051,0,-0.000207424164
202,0.202050,0,-1.57356262e-05
203,0.203080,0,7.77244568e-05
204,0.204050,0,0.000461339951
205,0.205052,0,0.000844955444
206,0.206050,0,0.00122857094
207,0.207054,0,0.00151610374
208,0.208052,0,0.00161194801
209,0.209055,0,0.00180363655
210,0.210056,0,0.00189948082
211,0.211051,0,0.00199532509
212,0.212050,0,0.00209116936
213,0.213053,0,0.00218701363
214,0.214062,0,0.00218701363
215,0.215053,0,0.00218701363
216,0.216056,0,0.00218701363
217,0.217054,0,0.00218701363
218,0.218049,0,0.00209116936
219,0.219055,0,0.00199532509
220,0.220054,0,0.00189948082
221,0.221052,0,0.00170779228
222,0.222055,0,0.00161194801
223,0.223054,0,0.00151610374
224,0.224080,0,0.00132441521
225,0.225055,0,0.00122857094
226,0.226051,0,0.0010368824
227,0.227057,0,0.000941038132
228,0.228053,0,0.000749349594
229,0.229051,0,0.000557661057
230,0.230057,0,0.000461816788
231,0.231055,0,0.000365972519
232,0.232050,0,0.00027012825
233,0.233056,0,0.000174283981
234,0.234052,0,0.000174283981
235,0.235058,0,8.05854797e-05
236,0.236057,0,8.05854797e-05
237,0.237053,0,-0.000111103058
238,0.238051,0,-0.000111103058
239,0.239055,0,-0.000302791595
240,0.240057,0,-0.000302791595
241,0.241053,0,-0.000398635864
242,0.242052,0,-0.000494480133
243,0.243056,0,-0.000494480133
244,0.244056,0,-0.000398635864
245,0.245064,0,-0.000206947327
246,0.246056,0,-1.52587891e-05
247,0.247052,0,7.82012939e-05
248,0.248051,0,0.000461816788
249,0.249055,0,0.000845432281
250,0.250050,0,0.00122904778
251,0.251054,0,0.00151658058
252,0.252054,0,0.00161242485
253,0.253050,0,0.00180411339
254,0.254057,0,0.00189995766
255,0.255139,0,0.00199580193
256,0.256056,0,0.00199580193
257,0.257053,0,0.00209164619
258,0.258052,0,0.00218749046
259,0.259056,0,0.00218749046
260,0.260051,0,0.00218749046
261,0.261055,0,0.00218749046
262,0.262054,0,0.00209164619
263,0.263051,0,0.00189995766
264,0.264050,0,0.00189995766
